Depth,var1.pred,var1.var,observed,residual,zscore,fold,coords.x1,coords.x2
1,20.931303122823344,523.0841565462773,22.36391061,1.4326074871766572,0.06263851216861495,1,307271,516970.00000000186
1,24.655184684451502,491.8250307450751,21.41834157,-3.236843114451503,-0.14595411245788184,2,307252.00000000186,516894.0000000037
1,20.79904393645007,460.30416217260716,35.65230203,14.853258093549933,0.6923078826958828,3,307384.00000000093,516793.00000000186
1,38.84360449877859,541.8058652959645,37.21368053,-1.6299239687785914,-0.07002377100638275,4,307884,516793.00000000186
1,43.26695495145352,475.53080272423705,46.62197394,3.355018988546476,0.1538528889651539,5,308176,516811.00000000186
1,43.391639926191004,475.63104578251426,46.31928706,2.927647133808996,0.13424052230252442,6,308225.00000000093,516791
1,38.340458089813055,462.39078379509635,47.89758557,9.557127480186942,0.44444988109306255,7,308120,516667.0000000037
1,48.85854777193355,446.8161296135939,48.69363516,-0.164912611933552,-0.007801703642360416,8,308265.00000000186,516579.00000000186
1,45.06690689333253,495.4450645961665,57.13106663,12.06415973666747,0.5420000487760764,9,307997.00000000093,516528
1,35.39649311537684,501.4101858097863,40.30965308,4.913159964623155,0.21941399665885844,10,308389.00000000093,516244
1,55.73984095904852,435.57198064778817,47.91467554,-7.825165419048524,-0.37494154067897023,11,308324.00000000093,516249
1,58.355716726513016,444.89489308398186,50.93614995,-7.419566776513015,-0.3517627416964506,12,308226.00000000093,516163
1,78.05173996422995,485.6003533784322,80.38136013,2.329620165770052,0.1057171922009639,13,308217.00000000093,516120.00000000186
1,68.3656784703055,447.6791525741948,101.3677658,33.002087329694504,1.559760700855169,14,308175.00000000186,516237.0000000037
1,56.84157426762491,463.6530884292855,44.39648863,-12.445085637624906,-0.5779646958095059,15,308104,516260
1,74.95516932565448,429.1427598903868,64.03830658,-10.916862745654484,-0.5269834242779945,16,308339,516458
1,90.08018299005063,458.36123622770117,64.40351222,-25.676670770050634,-1.1993191588987766,17,308366,516477.00000000186
1,88.6519302682717,461.9158881741023,81.92078182,-6.731148448271696,-0.31318987845651824,18,308394.00000000186,516436.00000000186
1,89.49172530803901,563.2719676025484,139.7203726,50.22864729196098,2.116373979100868,19,308392.00000000093,516402.00000000186
1,55.25982923417721,431.83516764878357,32.10061252,-23.159216714177212,-1.114460968804342,20,308330,516401.0000000037
1,31.403729145041517,456.7320344927491,31.28895289,-0.1147762550415159,-0.005370581526154254,21,307370.00000000093,516808.0000000037
1,32.601223064166795,464.0910818773931,27.25491816,-5.3463049041667965,-0.248171617798853,22,307390,516784
1,30.488446261677723,479.50293568465315,22.50252185,-7.985924411677722,-0.3646947907767569,23,307406.00000000093,516749.00000000186
1,29.25378814339815,493.88478404748133,42.32461434,13.070826196601846,0.5881528647466766,24,306363.00000000186,518336.00000000186
1,43.36580606298811,453.5361417097585,39.24037586,-4.125430202988113,-0.19371501888537265,25,306388.00000000093,518266.00000000186
1,43.55118227506222,448.7161567084316,37.34855076,-6.202631515062215,-0.2928128473897417,26,306450,518159.00000000186
1,46.90434300244999,443.0852008719744,47.60102231,0.6966793075500064,0.033097050235050454,27,306466.00000000186,518189
1,36.20034592917,447.8251986303645,47.08909133,10.888745400830004,0.5145452574916527,28,306508.00000000093,518192
1,41.34015541928743,451.98239870170266,35.07962679,-6.260528629287428,-0.29447623007846013,29,306529.00000000093,518206.00000000186
1,39.96158961112148,489.3507397027166,49.25674596,9.295156348878521,0.4201908341165729,30,308704,517770.0000000037
1,45.51654927186961,473.1455461460459,43.28732246,-2.2292268118696086,-0.10248419159484803,31,308740.00000000093,517829
1,66.97141496801592,490.7971037267568,56.75663477,-10.214780198015923,-0.4610818534857109,32,308681.99999999907,517893.00000000186
1,41.38227911603561,493.0278194506754,43.20978165,1.8275025339643847,0.08230425253735178,33,308664.00000000093,518029.00000000186
1,40.5605612272626,533.1672244074877,36.44588472,-4.114676507262601,-0.17819847167772113,34,308707.00000000093,518108
1,31.157049671164014,460.35810584001,36.06761354,4.91056386883599,0.22886715277001463,35,306500.00000000093,515919.00000000186
1,26.457657794829093,450.39853314568734,37.78349537,11.325837575170905,0.533668839410033,36,306532,515902
1,29.867374588388614,445.0721457082132,38.93232857,9.064953981611389,0.4296852008704321,37,306574,515938.00000000186
1,34.859253006158255,450.4205410745832,38.94435456,4.085101553841746,0.19248361363434513,38,306607.00000000093,515964.00000000186
1,54.10736391258724,874.9033813754993,52.86949967,-1.2378642425872357,-0.041849759871876856,39,314205,515755.00000000186
1,78.57150969454634,547.9032809683467,87.14830409,8.57679439545366,0.3664148350645873,40,314030.00000000093,515643.00000000186
1,88.33324199850476,559.7307425087487,83.46809004,-4.865151958504754,-0.20563963733705512,41,313929,515629
1,71.28440636260628,1048.7222029336313,65.46710375,-5.8173026126062695,-0.17963519293506153,42,313695.00000000093,515472
1,44.4202851072046,454.78758958218094,36.94969519,-7.470589917204599,-0.3503084351103658,43,306674,515711.00000000186
1,37.1323266622659,436.25814455213686,30.8822722,-6.250054462265904,-0.29923475085258905,44,306645.00000000093,515756
1,48.08003456916585,428.59497814878483,32.3643959,-15.715638669165855,-0.7591166131380824,45,306648,515798
1,51.75229050869678,433.69512809318485,42.82131043,-8.930980078696784,-0.4288514164745819,46,306665,515813.00000000186
1,48.465719550279914,439.26774049375905,46.93930637,-1.526413180279917,-0.07282952078795406,47,306698.00000000186,515839.00000000186
2,25.698009847493594,282.09632225561717,21.05768235,-4.640327497493594,-0.2762803009838841,1,307271,516970.00000000186
2,-1.4827903859079647,271.2299780369573,9.749653727,11.232444112907965,0.6820330528305054,2,307252.00000000186,516894.0000000037
2,19.76318022722999,349.84467659566377,17.90920922,-1.8539710072299904,-0.0991209152101856,3,307884,516793.00000000186
2,18.944686080404498,215.39967732150237,21.54306822,2.5983821395955005,0.1770437085392163,4,308176,516811.00000000186
2,28.686189396114827,214.6756541387042,24.24211203,-4.444077366114826,-0.30331243349161174,5,308225.00000000093,516791
2,14.591803168944235,253.9977604369612,16.4945229,1.9027197310557646,0.11938778041296048,6,308265.00000000186,516579.00000000186
2,17.77886662619392,327.73873781432303,23.82187578,6.043009153806079,0.333802329914004,7,307997.00000000093,516528
2,27.913443566619282,223.04562630496724,29.16729325,1.253849683380718,0.08395539684664874,8,308389.00000000093,516244
2,39.8904694530206,187.3365756918954,31.52446528,-8.366004173020599,-0.6112329925111463,9,308324.00000000093,516249
2,50.172896755943974,178.17132183692263,42.13458227,-8.038314485943971,-0.6022074060693944,10,308226.00000000093,516163
2,69.01212223596386,257.36343143689487,65.04995216,-3.9621700759638543,-0.24697881040226796,11,308217.00000000093,516120.00000000186
2,45.677956873635004,187.78943342382425,88.99997073,43.322013856365,3.1613535006760918,12,308175.00000000186,516237.0000000037
2,62.80754811438091,225.23011208008154,35.71920882,-27.08833929438091,-1.8049665341530035,13,308104,516260
2,38.80021422700096,156.81650047613476,27.81353325,-10.986680977000958,-0.8773454639468632,14,308339,516458
2,47.41020244365514,170.93018922058232,27.83771683,-19.572485613655136,-1.497051000435355,15,308366,516477.00000000186
2,36.823146647464974,180.63870940627842,58.10878975,21.285643102535026,1.5837308084687087,16,308394.00000000186,516436.00000000186
2,33.672810449043254,176.23730596491194,39.7747733,6.101962850956745,0.459642985259059,17,308330,516401.0000000037
2,25.24447341610872,208.72326777348803,21.50719465,-3.7372787661087195,-0.2586842935736422,18,307390,516784
2,16.584334125900998,227.98248106761434,14.97520622,-1.6091279059009977,-0.106571193307678,19,307406.00000000093,516749.00000000186
2,19.88005735215209,273.46326262070556,26.70373255,6.823675197847912,0.41263764961909627,20,306388.00000000093,518266.00000000186
2,26.200263927663013,181.01020154045932,17.82652587,-8.373738057663012,-0.6223975084780174,21,306450,518159.00000000186
2,20.196871438803072,155.57684833649765,19.29627685,-0.9005945888030702,-0.07220326697834333,22,306466.00000000186,518189
2,15.265114159826792,156.88174818057612,29.07465447,13.809540310173206,1.10253659166321,23,306508.00000000093,518192
2,29.004407652271354,177.8977914696244,18.22745517,-10.776952482271355,-0.8079987514900762,24,306529.00000000093,518206.00000000186
2,29.45455440164874,187.54956025483241,29.39373634,-0.06081806164873882,-0.004440936357445587,25,306500.00000000093,515919.00000000186
2,25.60405323394227,166.44202521611885,23.8246512,-1.7794020339422687,-0.13792487114475513,26,306532,515902
2,27.076190328571055,156.44390388971897,33.83107323,6.754882901428946,0.5400556355706182,27,306574,515938.00000000186
2,30.22326238774381,172.54684074039068,24.11741863,-6.105843757743809,-0.4648278930417071,28,306607.00000000093,515964.00000000186
2,29.205531278926973,155.4464602592245,31.54179146,2.336260181073026,0.1873832592126711,29,306647,515912.00000000186
2,33.580048566143134,197.41941540542575,36.1172693,2.537220733856863,0.1805773689477195,30,306723.00000000093,515917.00000000186
2,NA,NA,173.9299723,NA,NA,31,313842.00000000093,515634
2,27.74285422042972,205.0993287041624,26.58450025,-1.1583539704297188,-0.08088335777299761,32,306674,515711.00000000186
2,31.76387595178874,165.01721291365652,19.5644261,-12.199449851788742,-0.949676348743292,33,306645.00000000093,515756
2,37.70692181926904,146.10099437464046,45.95371165,8.246789830730961,0.6822732447638263,34,306648,515798
2,49.52737746152916,150.8723934126338,46.31637693,-3.211000531529166,-0.26141799984834757,35,306665,515813.00000000186
2,49.6283009876973,168.99369047199147,57.744338,8.116037012302698,0.6243221938905513,36,306698.00000000186,515839.00000000186
2,40.10254972981423,147.26071316250452,37.24851799,-2.854031739814225,-0.23518810287691586,37,306667.00000000093,515876
