var1.pred,var1.var,observed,residual,zscore,fold,coords.x1,coords.x2
43.57679998967659,469.1377190097738,65.9192,22.342400010323416,1.031524736469831,1,330609.00000000186,503268
41.136850286739474,453.7670767997418,19.3087,-21.828150286739472,-1.024708748592997,2,330565.00000000093,503214.00000000186
42.00411767444252,445.10519041532467,22.5244,-19.47971767444252,-0.9233180568042684,3,330630.99999999907,503198.0000000037
46.53600825669544,453.877302169682,56.5959,10.059891743304561,0.4721979255606538,4,330897.00000000186,503401
43.25516603965751,445.9286156012565,10.6064,-32.64876603965751,-1.546087612775392,5,331039,503385
46.48190211748728,464.9688224763824,73.6521,27.170197882512724,1.2600299985918004,6,331158.00000000093,503430.0000000037
41.820435142445376,442.5862708466827,26.6766,-15.143835142445376,-0.7198415388998162,7,331230.00000000093,503405.00000000186
42.04011632608465,421.0411774824511,125.2072,83.16708367391536,4.053117433958656,8,331160,503515
46.3928264648843,455.35219062360017,66.0327,19.639873535115704,0.9203753355876262,9,331347.99999999907,503426.00000000186
52.27279040436944,441.960031274535,45.9877,-6.285090404369441,-0.29896478172030627,10,331877,495879
40.712702575010546,486.3897681521263,44.3385,3.6257974249894573,0.1644035991668259,11,331885,495864.0000000037
46.733732875686314,464.3991968441623,22.9866,-23.747132875686315,-1.1019590408008044,12,331903,495877.0000000037
45.893147691334164,436.4982896828253,64.3628,18.46965230866583,0.8840309027191068,13,331942,495868
40.354743096314586,490.2419788420622,40.2058,-0.14894309631458214,-0.006726902447361445,14,332037.00000000093,495790
48.71891575145688,448.5921303716464,18.6284,-30.090515751456884,-1.420704664517311,15,332064.99999999907,495788
45.225537980891374,438.3795671144088,77.2748,32.049262019108625,1.5307098680217155,16,332071,495680.00000000186
54.28177172245427,443.1937518577007,30.4502,-23.831571722454274,-1.1320246167465362,17,332041,495619.0000000037
53.441361626642035,423.8157457859078,30.0141,-23.427261626642036,-1.1379756878496843,18,331858.00000000093,495554.00000000186
52.80395406443645,426.1400404608555,51.1997,-1.6042540644364465,-0.07771359091340836,19,331772.99999999907,495571
56.565925393540056,439.9154711024676,52.4438,-4.122125393540053,-0.19653349658887787,20,331658,495971.00000000186
55.55634809328317,429.7100983955396,63.1836,7.627251906716829,0.3679428010398844,21,331671,495418.0000000037
56.200186396232276,431.6107978021834,63.706,7.505813603767727,0.3612864091230566,22,331624,495370
54.88551722276152,424.8787155581984,62.6064,7.720882777238479,0.37457127652404726,23,331555,495389
58.368544426402885,439.75579724932913,57.6286,-0.7399444264028858,-0.03528525956361977,24,331313.00000000093,495449
61.91752539916597,455.6910339426305,47.0652,-14.85232539916597,-0.6957596102796819,25,331139,495408.00000000186
54.072848280695034,430.8846447407269,66.29,12.217151719304972,0.5885582590852007,26,331307.00000000093,496170.00000000186
54.15270454116454,430.329556356448,56.5232,2.370495458835464,0.11427166090873853,27,331302,496137
54.82428910569853,430.7320377021473,71.1841,16.359810894301468,0.7882694427365827,28,331234.00000000093,496093
